,Research on adult-learned second language ( L2 ) has,provided,True,considerable insight into the neurocognitive mechanisms underlying the learning and processing of L2 grammar [ 1 ] – [ 11 ] .
X,At the initial meeting it became apparent that most participants were there to learn more about digital humanities,and,True,were not ( yet ) in the situation where they were able to offer expertise on the subject .
X,"A year later , the National Library of the Netherlands ( Koninklijke Bibliotheek ) ,",and,True,the University Library of the Vrije Universiteit Amsterdam again concluded that librarians at their institutes who wanted to get involved in DH needed more training to adequately support researchers and students in this field .
X,"In essence , we want to teach our country’s country ’s librarians the ins",and,True,outs of DH in order for them to take up their natural role of facilitating and supporting research and ideally become the research partner needed in DH projects .
X,The aim of these clinics is to provide basic methodological competencies,and,True,"technical skills in DH , for a diverse group of librarians , consisting of both subject and technical librarians with basic technical skills ."
X,The content of these sessions should enable them to provide services to researchers,and,True,"students , identify remaining gaps in knowledge or skills that they could address by self-directed learning and ( perhaps ) to automate their daily library work ."
X,"We are not setting out to turn them into programmers or data crunchers , but want to boost their knowledge level to where they feel comfortable providing information about DH projects , follow the literature",and,True,"research , follow online tutorials and hopefully take up the challenge of finishing this professional development by engaging with the DH community ."
,"Identify possible subjects ,",based,True,"on experience , a comparison of existing teaching material related to DH ( e.g. The Programming Historian , the Digital Scholarship Training Programme at the British Library and Columbia University's University 's Developing Librarian project ) and the TaDiRAH taxonomy of research activities ;"
,Of,interest,False,"here , studies suggest that , despite the difficulties in acquiring L2 grammar , adult learners can approximate native-like levels of use and neurocognitive processing [ 12 ] – [ 15 ] ."
,"However , it is",not,False,enough to have attained such native-like levels .
,"Crucially , it is also desirable to retain them , even in the absence of continued",practice,False,or exposure to the L2 .
,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are",not,False,"uncommon , and may even be the norm [ 16 ] ."
,"Such a scenario may be found in different situations , including when one studies a language in a classroom and then",stops,False,"taking classes [ 17 ] , [ 18 ] and when one is immersed in a foreign language setting and then moves away [ 19 ] ."
,"In the present study , we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure",leads,False,"to decreased proficiency and / or less native-like neural processes ( “ use it or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
,"Additionally , we test whether any such outcomes might vary",as,False,"a function of the type of L2 training , in particular between classroom-like and immersion-like contexts ."
,These language,measures,False,"were compared in most studies to the same measures in a different set of subjects who had not experienced a period of limited exposure [ 17 ] , [ 18 ] , [ 22 ] , [ 23 ] , or to retrospective ratings of the same subjects [ 21 ] , with only one longitudinal study testing the same subjects before and after a period of limited exposure [ 24 ] ."
,"In fact , substantial periods ( months to years ) of limited or",no,False,"exposure following L2 training are not uncommon , and may even be the norm [ 16 ] ."
,"In the present study , we examine the outcomes of such a period of",no,False,"exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure leads to decreased proficiency and / or less native-like neural processes ( “ use it or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
,"The six studies tested L2 learners after periods of 1 month to 50 years of limited L2 exposure , mainly on general language skills [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] , [ 24 ] , though also on more specific paradigms",meant,False,"to target aspects of grammatical abilities [ 17 ] , [ 18 ] or lexical abilities [ 22 ] , [ 23 ] ."
,"Although attrition may take place within the first few years , some studies suggest that it then appears to level off , with",no,False,"further losses occurring [ 17 ] , [ 18 ] ."
,Research on adult-learned second language ( L2 ) has provided considerable insight into the neurocognitive mechanisms underlying the,learning,False,and processing of L2 grammar [ 1 ] – [ 11 ] .
,"In fact , substantial periods ( months to years ) of limited or no exposure",following,False,"L2 training are not uncommon , and may even be the norm [ 16 ] ."
,"Such a scenario may be found in different situations ,",including,False,"when one studies a language in a classroom and then stops taking classes [ 17 ] , [ 18 ] and when one is immersed in a foreign language setting and then moves away [ 19 ] ."
,We are aware of six studies designed to investigate the effects of a substantial period of limited exposure,following,False,"adult L2 training [ 17 ] , [ 18 ] , [ 21 ] – [ 24 ] , all of which were restricted to the examination of behavioral ( performance ) outcomes ."
,"It remains unclear what might explain such gains , which have been attributed to motivation and to L2 experience during the period of ostensibly limited exposure [ 24 ] , or to factors related to general maturation , cognitive",development,False,", or continued academic training [ 18 ] ."
,"We are not setting out to turn them into programmers or data crunchers , but want to boost their knowledge level to where they feel comfortable providing information about DH projects , follow the literature and research , follow online tutorials and hopefully take up the challenge of finishing this professional",development,False,by engaging with the DH community .
,The,poster,False,"at DH2017 will present the curriculum , its position in the international context and offer the lessons learned from both the design process and the first clinics ."
,This,statement,False,", however , needs to be read in the context of hardening public attitudes toward homosexuality in England and the severe sanctions ( including public hanging ) against convicted or even suspected offenders . [ 26 ]"
,We are aware of six studies,designed,False,"to investigate the effects of a substantial period of limited exposure following adult L2 training [ 17 ] , [ 18 ] , [ 21 ] – [ 24 ] , all of which were restricted to the examination of behavioral ( performance ) outcomes ."
X,The six studies,tested,False,"L2 learners after periods of 1 month to 50 years of limited L2 exposure , mainly on general language skills [ 17 ] , [ 18 ] , [ 21 ] , [ 23 ] , [ 24 ] , though also on more specific paradigms meant to target aspects of grammatical abilities [ 17 ] , [ 18 ] or lexical abilities [ 22 ] , [ 23 ] ."
X,"Across the studies , the periods of limited exposure",followed,False,"either classroom training [ 17 ] , [ 18 ] , [ 22 ] , [ 24 ] or mixed classroom and immersion training [ 21 ] , [ 23 ] , [ 24 ] ."
X,The training,lasted,False,"varying lengths of time , apparently usually in the range of a few years , and resulted in seemingly varying proficiency levels ( though not directly measured , except by [ 24 ] ) prior to the period of limited exposure ."
,"However ,",it,False,is not enough to have attained such native-like levels .
,"Crucially ,",it,False,"is also desirable to retain them , even in the absence of continued practice or exposure to the L2 ."
,"In fact , substantial periods ( months to years ) of limited or no exposure following L2 training are",not,False,"uncommon , and may even be the norm [ 16 ] ."
,"In the present study , we examine the outcomes of such a period of no exposure on the neurocognition of L2 grammar : that is , whether a substantial period of no exposure leads to decreased proficiency and / or less native-like neural processes ( “ use",it,False,"or lose it ” [ 20 ] ) , no such changes , or perhaps whether even higher proficiency and / or more native-like processing may be observed ."
