 ," Ayë wacä , Bitö ïmite në apente angä weca ente godinque botö bitö weocoo enceboimpa , ante ceyongä bitö mänincooque tömengä ingante pede godöninque wacoo bitö yabe ",mongencoo,True, tönö ee abi ö encecäimpa 
 , Ïñempa waëmoncoo ,mongengä,True, ïñömö awënë oncönë quëwengä apa quëwënänii 
 ," Tömënäni , Itota nänö wenguinque ebänö wentamö ",mongengää,True," , ante cöwä ayönäni ede de ampa "
 ," Wengonguï , Mïnitö Codito nö nänö ëwocadö ente ëwocacemïnimpa , ante pönö cedinque Codito ingante angä ëñëninque tömengä ïñömö ede wëne wëne ëwocadämaï inte weetë ede mönö beyë ante në wëne wëne cecä baï badinque mönö wentamö ëwocadö ince ",mongengacäimpa,True, 
 , Weetë mïmönë wïwa pönëninque nänö önöne tao gode beyenque tömengä wentamö ,mongengampa,True," , ante apënebo ëñëedäni "
 ," Mänömaï inte weyömonte mönö Codito ïñömö , Aamö cete gocemïnimpa , ante cedinque wëne wëne cete mönö wentamö mongëñö ö ente teëmë ",mongengantapa,True, 
 ," Ayë apënedinque , “ Botö tömënäni ïnänite wïï ponte apënebo baï tömënäni näni wentamö ",mongenguïmämo,True, mongënämaï incedönänimpa 
 , Mänömaï ï ïninque waocä pönënämaï inte mönö Awënë päö önonque cëninque Awënë nänö bequïmë önonque bedinque tömengä nänö wentamö ,mongenguinque,True," mönö Awënë baö ante , Önonque impa , ante pïinte baï cedinque tömengä wepë önonque wido cete baï cecampa "
 , Tömengä weocoo ante cämeyo ocaguincoo nonte badonte wëñate ,mongëninque,True, pacadeyenta ante ëmontai badonte encadeyënongäimpa 
 , Weocooque mönö ,mongënö,True, beyenque dice quëwëmongaa 
 , Doyedë ëñënämaï cedinque do wenguënëmïni ingaïmïni inte mïnitö inguipogaque ante mïni ceïnëwënö ante ee ,mongëñömïnite,True, Wengonguï angä ate mïnitö Itota tönö ñäni ömëmonte quëwengamïnimpa 
 , Ede daigënë cengëmoncadenque baï mönitö baö ,mongëñömönite,True," Wengonguï , Wïï mïnitö nämä tëï pïñënö beyenque ëwocamïnipa , weetë botö tëï pïñënö beyenque ëwocamïnipa , ante acedänimpa , ante badongampa "
 , Ayë öönedë quëwënäni wayö ,mongëñönäni,True, inguipoga quëwëmö ïñömö wayö ëñamompa 
 , Ede onquiyengä ïñömö nenque inte weocoo wëñate baï ,mongëñongä,True, apäicämo ince tömengä cencadëwa ënömengadëwa ïnö impa 
 , Waocä weocoo waëmoncoo ,mongënongä,True, ingante mïnitö dice ace gomïnitawogaa 
 , Ee ,mongëñongante,True, tömengä ingante awäa timpodäni wengä adinque baonque ante mönö wëne wëne cepämo ïñömö ëwente baï ba ïninque mönö do aamö cete baï mänïnö ante ëmö cete gomompa 
 ," Ayë wacä bitö ïmite , Bado , mäninganca mongente mäobi goboe , angä ëñëninque bitö tömengä nänö äninganca mäobi goyongante ayë adoganca godömenque ",mongente,True, mäobi gocäe 
