,"Građanska inicijativa "" U ime obitelji "" tijekom prvog tjedna prikupljanja",potpisa,True,", unatoč pojedinačnim napadima na volontere , bilježi dobre rezultate ."
,"Bugarska , Grčka i Rusija",potpisale,True,sporazum o projektu izgradnje značajnog naftovoda
,"Nakon više od deset godina pregovaranja o izgradnji naftovoda Bourgas - Alexandroupolis , Bugarska , Grčka i Rusija",potpisale,True,"su 12. travnja povelju o suradnji , utirući put za pokretanje projekta ."
,"Albanija , Makedonija i Crna Gora",potpisale,True,sporazum o slobodnom kretanju
,"Na sastanku Zemalja potpisnica Atlantske povelje 14. prosinca u Tirani , Albanija , Makedonija i Crna Gora",potpisale,True,su sporazum kojim se građanima ove tri zemlje omogućuje putovanje s putovnicom i biometrijskim identifikacijskim ispravama na području tih triju zemalja .
,"Prema protokolu kojeg su HLC , IDC i Documenta",potpisale,True,"u travnju 2004. godine , udruge su se složile surađivati i koordinirati svoje napore u dokumentiranju i otkrivanju istine o sukobima iz devedesetih , okončavajući nekažnjivost povreda humanitarnog prava u prošlosti i donoseći pravdu žrtvama ."
,Sporazum su,potpisali,True,albanski ministar unutarnjih poslova Bujar Nishani i šef ruske Savezne službe za kontrolu narkotika Victor Ivanov .
,"EU je u srijedu ( 13. kolovoza ) priopćila kako je spremna uputiti promatrače u pobunjenu gruzijsku regiju Južnu Osetiju , u cilju nadzora provedbe sporazuma o prekidu vatre koji su Moskva i Tbilisi",potpisali,True,ni 24 sata ranije .
,"Ministri razvitka Bugarske i Grčke Valentin Cerovski i Dimitris Sioufas ,",potpisali,True,su dokument zajedno s ruskim ministrom industrije i energetike Viktorom Khristenkom na ceremoniji održanoj u Sofiji .
,Pasi i njegov španjolski kolega Miguel Angel Moratinos u četvrtak su,potpisali,True,povelju o razumijevanju o suradnji ministarstava vanjskih poslova dviju zemalja .
,""" Mi smo",potpisali,True,"sporazum s predstavnicima srpske manjine , koji pružaju potporu našoj vladi "" , rekao je Sanader najavljujući planove za imenovanje nekoliko predstavnika srpske zajednice na položaje državnih tajnika u vladi ."
,"Ministri vanjskih poslova Makedonije i Albanije , Nikola Poposki i Edmond Haxhinasto , 14. prosinca sudjeluju na sastanku na kojem su , s crnogorskim kolegom Milanom Roćenom ,",potpisali,True,sporazum o slobodnom kretanju .
,Dvojica dužnosnika,potpisali,True,"su zajedničku deklaraciju o suradnji dviju zemalja , ažurirajući njihov sporazum o strateškom partnerstvu iz travnja 1997. godine ."
,Predsjednik Skupštine Republike Srpske ( RS ) Igor Radojičić i njegov srbijanski kolega Oliver Dulić,potpisali,True,su u srijedu ( 9. siječnja ) sporazum o parlamentarnoj suradnji .
,"Područje predviđeno za istraživanja nalazi se na sjeveroistoku , u okolici Novog Pazara , i možda sadrži pravo blago u obliku nalazišta plina iz škriljevca , čija se eksploatacija očekuje nakon sporazuma koji će biti",potpisan,True,s američkim energetskim divom Chevronom .
,"Prema ugovoru vrijednom 100 milijuna eura , koji je",potpisan,True,"13. rujna između Agencije za nadzor privatizacije i post-privatizacije te predstavnika austrijske tvrtke BT Invest , 80 posto dionica Bulgartabaca odlaze toj tvrtki , koja je u vlasništvu VTB Capitala , investicijskog ogranka ruske državne VTB Banke ."
,Bit će,potpisan,True,"niz važnih gospodarskih sporazuma , uključujući ugovor o uspostavi kompanije za izgradnju naftovoda Burgas - Alexandroupolis ."
,Sporazum je,potpisan,True,u Nicosiji .
,U poglavlju ODUZIMANJE IMOVINE I UGUŠENJE ZEMLJIŠNIH ZAJEDNICA 1947. dat je tekst Zakona o proglašenju imovine zemljišnih zajednica te krajiških imovnih općina općenarodnom imovinom iz 1947. (,potpisan,True,"od strane tadašnjeg predsjednika hrvatskog Sabora Vladimira Nazora ) , te dopune tog zakona iz 1987."
,Upravo tako je,potpisana,True,"krađa koja do danas nije objašnjena , a pretpostavlja se da je izvedena 1. ili 2. prosinca 2002. godine u haaškom Muzeju znanosti ."
,U deklaraciji koja je,potpisana,True,na koncu sastanka poziva se na uzajamno povjerenje i regionalnu suradnju .
,Izvješće je objavljeno sedam godina nakon što je 1992. u Bukureštu,potpisana,True,"Konvencija o zaštiti Crnog mora od zagađenja , kojom šest obalnih zemalja potvrđuje svoju predanost zaštiti okoliša i održivom upravljanju morem ."
,Misija EU na Kosovu kaže kako će se protokolom,potpisanim,True,sa srbijanskom policijom pomoći napori na jačanju vladavine zakona te kako on ne prijeti suverenitetu Kosova .
,S obzirom na činjenicu da neki izvori financiranja unatoč,potpisanim,True,"ugovorima nisu realizirali svoje obaveze , Hrvatski filmski savez ostvario je manjak prihoda od 65554,58 kuna koji će biti pokriven prihodima od djelatnosti u 2013. godini ."
,UNMIK je u ponedjeljak ( 18. kolovoza ),potpisao,True,"sporazum o ustupanju dijela svoje imovine na Kosovu dolazećoj pravosudnoj misiji EU , EULEX , za koju promatrači očekuju da će u cijelosti biti uspostavljena u idućih nekoliko mjeseci ."
,Turski predsjednik,potpisao,True,"je u petak ključni paket ustavnih izmjena , s ciljem približavanja zemlje standardima EU ."
,Predsjednik Ahmet Necdet Sezer,potpisao,True,je u petak ( 21. svibanj ) ustavne izmjene .
,Predsjednik Ahmet Necdet Sezer,potpisao,True,"je u petak ( 21. svibanj ) ključni paket ustavnih izmjena , s ciljem približavanja domaćeg zakonodavstva standardima EU ."
,Hrvatski ministar obrane Branko Vukelić i njegov srbijanski kolega Dragan Šutanovac,potpisat,True,će u utorak ( 8. lipnja ) u Zagrebu bilateralni sporazum o obrambenoj suradnji .
,""" Ukoliko nam ponude sporazum MMF-a koji je u skladu s interesima Turske ,",potpisat,True,ćemo ga ...
,"Prema očekivanjima , Bugarska će u prvim mjesecima 2005. godine",potpisati,True,"Sporazum o prijamu , prije nego se 1. siječnja 2007. godine službeno priključi EU ."
,Očekuje se da će Kosovo,potpisati,True,"isti sporazum s Makedonijom i Crnom Gorom , kaže Alber Gashi , stručnjak za EU integracije u Prištini ."
,""" Kao predsjednik Ustavnog suda Makedonije ne mogu",potpisati,True,"takvu odluku i zato podnosim ostavku "" , kazao je Jusufi ."
