,Ukoliko navedena ponašanja budu učestala i intenzivna potrebno je,potražiti,True,"pomoć stručnjaka , psihologa ."
,Razrješenje je moguće,tražiti,True,"u samorazumijevanju vlastite osobnosti , svog mišljenja i djelovanja koje se realizira u društvenoj stvarnosti i nju na ključni način kreira ."
,Kosovski premijer Agim Čeku iznio je u srijedu ( 8. kolovoz ) oštro upozorenje glede mogućeg povlačenja Prištine iz predstojećih razgovora s Beogradom u slučaju da se od nje,zatraži,True,prihvaćanje bilo čega manjeg od neovisnosti ili pristanak na podjelu pokrajine po etničkoj crti .
,Misija EU-a i MMF-a od četvrtka analizira državne financije te zemlje kako bi pomoć bila spremna u slučaju da je Dublin službeno,zatraži,True,.
,Zamjenik ministra pravosuđa Slobodan Homen izjavio je za B92 kako vlasti planiraju,zatražiti,True,"od najvišeg suda u Srbiji "" zabranu svih udruga koje upućuju prijetnje "" ."
,On je izjavio kako će od stranaka,zatražiti,True,da javno potvrde prihvaćaju li neke od Nimetzovih prijedloga .
,"Međutim , stabilnost vlade dovedena je u pitanje budući da se očekuje kako će manjinska albanska stranka unutar vladajuće koalicije",zatražiti,True,prijevremene izbore .
,"Početkom godine , lokalni mediji izvijestili su kako će azil",zatražiti,True,jedan visoki irački dužnosnik .
,"Prema riječima odvjetnika Giovanni di Stefana , ministar vanjskih poslova u vladi Saddama Husseina , Tariq Aziz , želio je",zatražiti,True,azil u Hrvatskoj .
,"Prema uredbi , koja je objavljena u Službenom glasniku 27. kolovoza , manjinske zaklade mogu",zatražiti,True,"povrat imovine -- uključujući groblja , fontane , škole , bolnice i domove za nezbrinutu djecu -- koju su prijavljivali nakon 1936. godine ."
,"Cucić tvrdi kako se u centru u Banji Koviljači treba uvesti poluotvoren režim , prema kojem bi tražitelji azila morali",zatražiti,True,dozvolu ako žele izaći .
,Hrvati su od Izraelaca kudikamo sramežljiviji kad treba,zatražiti,True,pomoć zbog duševnih problema .
